Altium Designer Pick and Place Locations
D:\Work\GitHub\USB-Wi-Fi-Radio\Release Files\[2] Board Assembly\RadioStick SMT Single\PnP Files RadioStick SMT Single.csv

========================================================================================================================
File Design Information:

Date:       08/08/20
Time:       20:17
Revision:   f4a33ca486cdcaf6430ad946397e112879cbda60
Variant:    SMT Single
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"VT2","69.3250mm","90.9500mm","TopLayer","90"
"JP4","56.6750mm","84.5500mm","TopLayer","0"
"JP3","73.7500mm","84.4250mm","TopLayer","0"
"U1","64.5500mm","90.3750mm","BottomLayer","270"
"R23","66.4500mm","95.5000mm","BottomLayer","360"
"Q1","62.9500mm","96.3000mm","BottomLayer","360"
"C29","60.9500mm","98.5750mm","BottomLayer","360"
"C28","60.2250mm","96.3750mm","BottomLayer","270"
"C27","58.0750mm","88.3500mm","BottomLayer","270"
"C13","58.0750mm","92.1500mm","BottomLayer","270"
"D1","64.2750mm","90.9500mm","TopLayer","270"
"C24","72.0000mm","105.8000mm","TopLayer","180"
"C21","68.0000mm","121.0250mm","TopLayer","90"
"C9","76.2500mm","115.1500mm","TopLayer","270"
"C8","63.7500mm","112.6000mm","TopLayer","270"
"C7","63.7500mm","115.4250mm","TopLayer","90"
"C4","76.2500mm","109.4000mm","TopLayer","90"
"R13","73.1250mm","139.2750mm","TopLayer","90"
"R3","74.3250mm","125.1750mm","TopLayer","90"
"D7","72.3000mm","89.7000mm","TopLayer","270"
"JP2","75.2500mm","89.0050mm","TopLayer","180"
"JP1","55.1250mm","89.0050mm","TopLayer","180"
"J1","56.9050mm","97.8750mm","TopLayer","360"
"X1","65.2250mm","86.2250mm","TopLayer","0"
"L2","62.6250mm","132.5250mm","TopLayer","270"
"X2","70.8000mm","99.5000mm","TopLayer","180"
"U6","69.9500mm","112.3000mm","TopLayer","180"
"U5","57.3750mm","115.7750mm","TopLayer","180"
"U4","57.3500mm","108.5250mm","TopLayer","180"
"U3","73.4500mm","131.6250mm","TopLayer","90"
"U2","66.6750mm","130.8250mm","TopLayer","360"
"R24","69.1750mm","105.8000mm","TopLayer","360"
"R22","75.0750mm","118.6500mm","TopLayer","180"
"R21","63.7500mm","106.8000mm","TopLayer","90"
"R20","65.9500mm","121.0500mm","TopLayer","90"
"R19","69.0750mm","94.0000mm","TopLayer","180"
"R18","74.2500mm","103.8750mm","TopLayer","360"
"R17","68.4250mm","103.8750mm","TopLayer","180"
"R16","71.9500mm","118.6500mm","TopLayer","360"
"R15","71.1000mm","139.2750mm","TopLayer","90"
"R14","70.1500mm","125.1750mm","TopLayer","90"
"R12","64.0000mm","121.0250mm","TopLayer","270"
"R11","71.5250mm","125.1750mm","TopLayer","90"
"R10","75.1000mm","139.2750mm","TopLayer","270"
"R9","62.3750mm","125.2000mm","TopLayer","90"
"R8","66.6250mm","125.1750mm","TopLayer","90"
"R7","72.9250mm","125.1750mm","TopLayer","270"
"R6","60.9250mm","125.2000mm","TopLayer","90"
"R5","68.7250mm","125.1750mm","TopLayer","90"
"R4","62.7250mm","136.9750mm","TopLayer","90"
"R2","58.1500mm","90.7000mm","TopLayer","270"
"R1","66.8000mm","90.6000mm","TopLayer","90"
"Q3","70.9000mm","121.1250mm","TopLayer","0"
"Q2","66.8250mm","137.3500mm","TopLayer","180"
"D6","70.7250mm","142.1750mm","TopLayer","90"
"D5","73.1250mm","142.1500mm","TopLayer","90"
"D4","75.4750mm","142.1500mm","TopLayer","90"
"VT1","60.9000mm","90.9750mm","TopLayer","90"
"C26","72.1250mm","94.0000mm","TopLayer","180"
"C25","71.3250mm","103.8750mm","TopLayer","360"
"C23","74.8750mm","105.8000mm","TopLayer","180"
"C22","73.7250mm","121.1000mm","TopLayer","270"
"C20","66.3500mm","105.8000mm","TopLayer","360"
"C19","68.7250mm","118.6000mm","TopLayer","360"
"C18","76.2500mm","112.2750mm","TopLayer","90"
"C17","62.2500mm","111.5500mm","TopLayer","270"
"C16","57.9250mm","121.2250mm","TopLayer","180"
"C15","58.0250mm","103.4500mm","TopLayer","180"
"C14","63.7500mm","109.7750mm","TopLayer","90"
"C12","64.1750mm","136.9750mm","TopLayer","90"
"C11","69.4000mm","137.3000mm","TopLayer","270"
"C10","61.1750mm","132.0750mm","TopLayer","360"
"C6","62.4750mm","130.0000mm","TopLayer","90"
"C5","72.1750mm","137.0750mm","TopLayer","360"
"C3","62.2500mm","116.5000mm","TopLayer","90"
"C2","64.7000mm","135.1750mm","TopLayer","360"
"C1","64.3750mm","125.2000mm","TopLayer","90"
